id,nom,groupe,siret
9110,AKFG COMMUNICATION,,53308929800012
9111,CAISSE REGIONALE DE CREDIT MUTUEL D ILE DE FRANCE,,69204371400108
9113,CUBITUS,,51810027600022
9115,CUCINELLA,,48804538600023
9116,DAVIMAR,,41062052000099
9118,DEOLAN,,49851631900023
9120,DESTINATION PASSION,,44317113700013
9121,DOCEXPERT,,49017172500016
9122,DOUBLE D-IMPORT,,39488159300047
9123,DUARUZ GROUP,,51019092900024
9124,EDIFA SOCIETE D'EDITIONS POUR LA FAMILLE,,32170279700036
9125,EDIMARK,DATEVI EDITIONS,35349347100034
9126,ELO & CO,,48870166500025
9127,ELYSEE SHOPPING,,31641919100036
9128,ESPRIMM,,51183618100012
9129,EULER HERMES RECOUVREMENT FRANCE,,38823702600231
9131,CANBERRA FRANCE,GROUPE AREVA,38444977300140
9132,KRYS GROUP SERVICES,,42139018800058
9133,777,,52369668000017
9134,TUMBUP,,53929636800019
9135,KLESIA FINANCES,,33808171400010
9136,BNP PARIBAS INVESTMENT PARTNERS PAR ABREVIATION,BNP PARIBAS,68200190400015
9137,PME MULTIMEDIA,,48044917200026
9138,GEO PLC,,53135579000019
9139,KEYQUANT,,51863278100010
9140,KEYQUANT,,51863278100010
9141,KEYQUANT,,51863278100010
9142,PHARMACIE TARDIF,PHARMACIE TARDIF,40784067700022
9143,PARIS ATTITUDE,,43932841000030
9144,EURO ENGINEERING,,33042146200038
9145,DDB HEALTH PARIS,,40475229700022
9146,DILIGENTIA PARTENAIRES,,48411470700017
9147,GMX SAS,,49120850000034
9148,GROUPAMA SUPPORTS ET SERVICES,GROUPAMA,41054695600013
9149,YAKACEFE,,51243705400020
9150,FL CONSULTING,,48134358000017
9151,LABORATOIRES PARIS DOME,,61202851400083
9152,VOYAGES MASSON,,30343501000010
9153,UNITHER PHARMACEUTICALS,,49218796800010
9155,TTT,,75397200900017
9156,TRANSPORT MONA,,48968827500010
9157,TOYOTOMI,,53414555200012
9158,TEC INTERNATIONAL,,32512365100029
9159,TD COM,,49304012500046
9160,TRANI SARL,,50784676400011
9161,SOTRA-ELEC,,50871133000011
9162,SOGEFIBEM,SOGEFIBEM,45212072800012
9163,DEFIGRAPH,,33255265200015
9164,PRIVATE OUTLET,,49297858000016
9165,EXCENT FRANCE,,64203035700130
9166,CODINGAME,,75053861300019
9167,SPORTSHOP,,44413316900037
9168,VINCI ENERGIES,,39163584400023
9169,LBC FRANCE,,52172433600024
9170,MOBY SYSTEMS SAS,,52241489500022
9171,GLOBAL PLUS SOLUTIONS,,52891275100021
9173,S.N.C. L'EQUIPE,,33297848500040
9174,STE INTERNATIONALE DE PROMOTION ET DE CREATION SIPC,,32091791700025
9175,NON STOP EDITION,,78843590700027
9176,JH GROUP,,52059723800028
9177,GINALFI FINANCE,,42905275600013
9178,DESCOURS ET CABAUD SA,,95550103600011
9179,FLUDIA,,44285414700034
9180,GIVING CORNER,,52953259000013
9181,INFO'ROM,,42036609800028
9182,L ARC HOLDING,,41206767000064
9183,ACTIAN FRANCE,ACTIAN FRANCE,48763204400037
9184,DIADEIS PR,,53867318700018
9185,CAPTAINDASH,,51846637000013
9188,RCF RUGBY,,41408411100072
9189,SAMARKAND,,42271852800025
9190,ROZAY,,79123560900017
9191,IDIGITAL I-EXECUTIVE,,75257508400021
9192,SALVA LOCATION,,31647007900021
9193,SAISON 2,,53978380300015
9194,SAINT FLOPATIR,,50382615800019
9195,REPETTO,,57200053700074
9196,RENAULT TRUCKS DEFENSE,,66204340500080
